Address,Size,Function,stack,name
0x000000000001bf60,56,x86_64::addr::VirtAddr::align_down::hc23e6602823972ae,,
0x000000000001c140,56,x86_64::addr::VirtAddr::p4_index::he3795fb455454766,,
0x000000000001c370,56,<x86_64::addr::VirtAddr as core::ops::arith::Sub<u64>>::sub::h3a260cd94fafd9d4,,
0x000000000001c600,56,x86_64::addr::PhysAddr::align_down::h030683d4fb077e50,,
0x000000000001c7f0,56,core::result::Result<T,E>::expect::h3ef6cc24c8dd4f80,
0x000000000001ca50,56,<u16 as bit_field::BitField>::set_bit::h23e2df12c6009bd1,,
0x000000000001d060,56,<u64 as bit_field::BitField>::get_bit::h57f117808782013d,,
0x000000000001da60,56,core::ptr::swap_nonoverlapping::hafeee496da014116,,
0x000000000001e530,56,linked_list_allocator::align_down::h215054f4ef2e00a2,,
0x000000000001e8a0,56,linked_list_allocator::hole::HoleList::deallocate::h00236ecece277ae0,,
0x00000000000205c0,56,core::option::Option<T>::map_or::h4b7c4f0ecc6ee660,,
0x0000000000020820,56,core::option::Option<T>::and_then::h1972d7bb185a96cf,,
0x0000000000020dd0,56,core::result::Result<T,E>::unwrap::h4756325fd5938c96,
0x0000000000020f10,56,core::alloc::Layout::from_size_align_unchecked::hb88b1d80d9ace529,,
0x00000000000071a0,48,core::fmt::Arguments::new_v1::h913842fbdacd82ec,,
0x0000000000007570,48,core::ptr::slice_from_raw_parts::h4f318115741ba20e,,
0x0000000000007640,48,core::ptr::slice_from_raw_parts_mut::h0734514d7ab0a44e,,
0x0000000000007d50,48,x86_64::structures::paging::page::Page<S>::range_inclusive::h8a29eda9046aaa1a,,
0x0000000000009af0,48,core::mem::forget::hd073c5dee884f594,,
0x000000000000b310,48,core::ptr::slice_from_raw_parts_mut::h5cb25b7ef6e94192,,
0x000000000000b6a0,48,core::fmt::Arguments::new_v1::hb3e4e6343c24f5c8,,
0x0000000000010560,48,pc_keyboard::Keyboard<T,S>::new::he7e730ac7a6d9bf4,
0x0000000000012ea0,48,core::option::Option<T>::unwrap_or::hdca69adbafeac998,,
0x00000000000132a0,48,core::ptr::slice_from_raw_parts::h30f413f247bbf6d2,,
0x0000000000019b00,48,core::fmt::Arguments::new_v1::hbdb671c24f242bbe,,
0x0000000000004410,40,alloc::rc::RcBoxPtr::dec_strong::h90ec974bfb87a995,,
0x0000000000004510,40,alloc::rc::RcBoxPtr::weak::h57b900a4b8055a87,,
0x0000000000004560,40,alloc::rc::RcBoxPtr::strong::h814e693339794782,,
0x00000000000045a0,40,alloc::rc::RcBoxPtr::dec_weak::hdb6463b51b18d6d9,,
0x0000000000004700,40,core::iter::range::<impl core::iter::traits::iterator::Iterator for core::ops::range::Range<A>>::next::h7957e8c9245180f7,,
0x0000000000004820,40,core::intrinsics::copy_nonoverlapping::h21a7ec0428e6696f,,
0x0000000000004900,40,core::intrinsics::is_aligned_and_not_null::h0467be74f8935a47,,
0x0000000000004d10,40,core::slice::<impl core::ops::index::IndexMut<I> for [T]>::index_mut::h31b9cc972874f186,,
0x00000000000051f0,40,core::cmp::impls::<impl core::cmp::PartialOrd for u64>::partial_cmp::h71529aa868d470f7,,
0x0000000000006040,40,core::option::Option<T>::ok_or::he15768a0d62dafb8,,
0x00000000000061e0,40,core::ptr::unique::Unique<T>::new_unchecked::haef94c8c567b7391,,
0x0000000000006340,40,<T as core::convert::Into<U>>::into::h8ca874fb2be62070,,
